website,website_url,parent_name,parent_url,parent_display_order,parent_open_method,sub_child_name,sub_child_url,sub_child_display_order,sub_child_activation_method,child_name,child_url,child_display_order,column_number,row_number,hierarchy_level,discovery_method,source_selector,normalized_url,url_missing,is_duplicate,scraped_at,http_status,final_url,redirect_url,response_error,validation_timestamp
GadgetFix,https://gadgetfix.com/,Apple,https://gadgetfix.com/category/apple-1228.html,1,dom-inspection,,,0,,,,0,0,0,1,dom-inspection,,https://gadgetfix.com/category/apple-1228.html,False,False,2026-09-07T04:49:55+00:00,,,,,
GadgetFix,https://gadgetfix.com/,Google,https://gadgetfix.com/category/google-1552.html,2,dom-inspection,,,0,,,,0,0,0,1,dom-inspection,,https://gadgetfix.com/category/google-1552.html,False,False,2026-09-07T04:49:55+00:00,,,,,
GadgetFix,https://gadgetfix.com/,LG,https://gadgetfix.com/category/lg-1171.html,3,dom-inspection,,,0,,,,0,0,0,1,dom-inspection,,https://gadgetfix.com/category/lg-1171.html,False,False,2026-09-07T04:49:55+00:00,,,,,
GadgetFix,https://gadgetfix.com/,Microsoft,https://gadgetfix.com/category/microsoft-1454.html,4,dom-inspection,,,0,,,,0,0,0,1,dom-inspection,,https://gadgetfix.com/category/microsoft-1454.html,False,False,2026-09-07T04:49:55+00:00,,,,,
GadgetFix,https://gadgetfix.com/,Motorola,https://gadgetfix.com/category/motorola-1177.html,5,dom-inspection,,,0,,,,0,0,0,1,dom-inspection,,https://gadgetfix.com/category/motorola-1177.html,False,False,2026-09-07T04:49:55+00:00,,,,,
GadgetFix,https://gadgetfix.com/,OnePlus,https://gadgetfix.com/category/oneplus-1637.html,6,dom-inspection,,,0,,,,0,0,0,1,dom-inspection,,https://gadgetfix.com/category/oneplus-1637.html,False,False,2026-09-07T04:49:55+00:00,,,,,
GadgetFix,https://gadgetfix.com/,Samsung,https://gadgetfix.com/category/samsung-1172.html,7,dom-inspection,,,0,,,,0,0,0,1,dom-inspection,,https://gadgetfix.com/category/samsung-1172.html,False,False,2026-09-07T04:49:55+00:00,,,,,
GadgetFix,https://gadgetfix.com/,Other Parts,https://gadgetfix.com/category/other-parts-1169.html,8,dom-inspection,,,0,,,,0,0,0,1,dom-inspection,,https://gadgetfix.com/category/other-parts-1169.html,False,False,2026-09-07T04:49:55+00:00,,,,,
GadgetFix,https://gadgetfix.com/,Tempered Glass,https://gadgetfix.com/category/tempered-glass-1692.html,9,dom-inspection,,,0,,,,0,0,0,1,dom-inspection,,https://gadgetfix.com/category/tempered-glass-1692.html,False,False,2026-09-07T04:49:55+00:00,,,,,
GadgetFix,https://gadgetfix.com/,Tools,https://gadgetfix.com/category/tools-1702.html,10,dom-inspection,,,0,,,,0,0,0,1,dom-inspection,,https://gadgetfix.com/category/tools-1702.html,False,False,2026-09-07T04:49:55+00:00,,,,,
