website,website_url,parent_name,parent_url,parent_display_order,parent_open_method,sub_child_name,sub_child_url,sub_child_display_order,sub_child_activation_method,child_name,child_url,child_display_order,column_number,row_number,hierarchy_level,discovery_method,source_selector,normalized_url,url_missing,is_duplicate,scraped_at,http_status,final_url,redirect_url,response_error,validation_timestamp
MobileSentrix Canada,https://www.mobilesentrix.ca/,Apple,,1,click,,,0,,,,0,0,0,1,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a.nlabel-f,,True,False,2026-09-07T04:46:44+00:00,,,,,
MobileSentrix Canada,https://www.mobilesentrix.ca/,Samsung,,2,click,,,0,,,,0,0,0,1,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a.nlabel-f,,True,False,2026-09-07T04:46:44+00:00,,,,,
MobileSentrix Canada,https://www.mobilesentrix.ca/,Motorola,,3,click,,,0,,,,0,0,0,1,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a.nlabel-f,,True,False,2026-09-07T04:46:44+00:00,,,,,
MobileSentrix Canada,https://www.mobilesentrix.ca/,Google,,4,click,,,0,,,,0,0,0,1,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a.nlabel-f,,True,False,2026-09-07T04:46:44+00:00,,,,,
MobileSentrix Canada,https://www.mobilesentrix.ca/,Xiaomi,,5,click,,,0,,,,0,0,0,1,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,,True,False,2026-09-07T04:46:44+00:00,,,,,
MobileSentrix Canada,https://www.mobilesentrix.ca/,Other Parts,,6,click,,,0,,,,0,0,0,1,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,,True,False,2026-09-07T04:46:44+00:00,,,,,
MobileSentrix Canada,https://www.mobilesentrix.ca/,Game Console,,7,click,,,0,,,,0,0,0,1,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,,True,False,2026-09-07T04:46:44+00:00,,,,,
MobileSentrix Canada,https://www.mobilesentrix.ca/,Accessories,,8,click,,,0,,,,0,0,0,1,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,,True,False,2026-09-07T04:46:44+00:00,,,,,
MobileSentrix Canada,https://www.mobilesentrix.ca/,Tools & Supplies,https://www.mobilesentrix.ca/repair-tools/recently-added,9,click,,,0,,,,0,0,0,1,dom-inspection,#recently-add,https://www.mobilesentrix.ca/repair-tools/recently-added,False,False,2026-09-07T04:46:44+00:00,,,,,
MobileSentrix Canada,https://www.mobilesentrix.ca/,Board Components,,10,click,,,0,,,,0,0,0,1,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,,True,False,2026-09-07T04:46:44+00:00,,,,,
MobileSentrix Canada,https://www.mobilesentrix.ca/,Pre-Owned Devices,,11,click,,,0,,,,0,0,0,1,click,ul#nav > li.ms-devices.devicemainmenu.noclickablecategory.li-hover > a,,True,False,2026-09-07T04:46:44+00:00,,,,,
