website,website_url,parent_name,parent_url,parent_display_order,parent_open_method,sub_child_name,sub_child_url,sub_child_display_order,sub_child_activation_method,child_name,child_url,child_display_order,column_number,row_number,hierarchy_level,discovery_method,source_selector,normalized_url,url_missing,is_duplicate,scraped_at,http_status,final_url,redirect_url,response_error,validation_timestamp,duplicate_type
Parts4Cells,https://parts4cells.com/,Devices,https://parts4cells.com/devices.html,1,click,iPhone,https://parts4cells.com/devices/iphone.html,1,dom-inspection,,,0,0,0,2,dom-inspection,div.main-menu-head > div.row > div.col-md-12.megamenu > ul.sub-menu.sub-menu-top > li.level1 > div.sub-menu-toggle-main > a.sub-menu-toggle.device-category,https://parts4cells.com/devices/iphone.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Devices,https://parts4cells.com/devices.html,1,click,Samsung,https://parts4cells.com/devices/samsung.html,2,dom-inspection,,,0,0,0,2,dom-inspection,div.main-menu-head > div.row > div.col-md-12.megamenu > ul.sub-menu.sub-menu-top > li.level1 > div.sub-menu-toggle-main > a.sub-menu-toggle.device-category,https://parts4cells.com/devices/samsung.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Devices,https://parts4cells.com/devices.html,1,click,iPad,https://parts4cells.com/devices/ipad.html,4,dom-inspection,,,0,0,0,2,dom-inspection,div.main-menu-head > div.row > div.col-md-12.megamenu > ul.sub-menu.sub-menu-top > li.level1 > div.sub-menu-toggle-main > a.sub-menu-toggle.device-category,https://parts4cells.com/devices/ipad.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 17 Pro Max,https://parts4cells.com/apple/iphone/iphone-17-pro-max.html,4,2,4,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-17-pro-max.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 17 Pro,https://parts4cells.com/apple/iphone/iphone-17-pro.html,5,2,5,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-17-pro.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 16 Pro Max,https://parts4cells.com/apple/iphone/iphone-16-pro-max.html,8,2,8,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-16-pro-max.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 16 Pro,https://parts4cells.com/apple/iphone/iphone-16-pro.html,9,2,9,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-16-pro.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 16 Plus,https://parts4cells.com/apple/iphone/iphone-16-plus.html,10,2,10,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-16-plus.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 16,https://parts4cells.com/apple/iphone/iphone-16.html,11,2,11,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-16.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
Parts4Cells,https://parts4cells.com/,Apple,,2,click,iPhone,https://parts4cells.com/apple/iphone.html,1,dom-inspection,iPhone 15 Pro Max,https://parts4cells.com/apple/iphone/iphone-15-pro-max.html,12,2,12,3,dom-inspection,ul#mobile-menu-cat-7-1 > li.level2 > a.sub-category-link,https://parts4cells.com/apple/iphone/iphone-15-pro-max.html,False,False,2026-09-07T04:41:35+00:00,,,,,,same_name_different_url
