website,website_url,parent_name,parent_url,parent_display_order,parent_open_method,sub_child_name,sub_child_url,sub_child_display_order,sub_child_activation_method,child_name,child_url,child_display_order,column_number,row_number,hierarchy_level,discovery_method,source_selector,normalized_url,url_missing,is_duplicate,scraped_at,http_status,final_url,redirect_url,response_error,validation_timestamp
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,All iPhone Screens,https://www.phonelcdparts.com/apple/iphone-parts/all-iphone-screens,1,1,1,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.to3b8qb.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/all-iphone-screens,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 17 Pro Max,https://www.phonelcdparts.com/apple/iphone-parts/iphone-17-pro-max,2,1,2,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.ijs1kmv.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-17-pro-max,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 17 Pro,https://www.phonelcdparts.com/apple/iphone-parts/iphone-17-pro,3,1,3,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.qpoheaq.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-17-pro,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone Air,https://www.phonelcdparts.com/apple/iphone-parts/iphone-17-air,4,1,4,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.pbtpdbc.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-17-air,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 17,https://www.phonelcdparts.com/apple/iphone-parts/iphone-17,5,1,5,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.wcysvi2.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-17,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 17e,https://www.phonelcdparts.com/apple/iphone-parts/iphone-17e,6,1,6,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.bk9bftj.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-17e,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 16 Pro Max,https://www.phonelcdparts.com/apple/iphone-parts/iphone-16-pro-max,7,1,7,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.uoso55x.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-16-pro-max,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 16 Pro,https://www.phonelcdparts.com/apple/iphone-parts/iphone-16-pro,8,1,8,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.eevdi5u.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-16-pro,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 16 Plus,https://www.phonelcdparts.com/apple/iphone-parts/iphone-16-plus,9,1,9,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.h4o0ced.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-16-plus,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 16,https://www.phonelcdparts.com/apple/iphone-parts/iphone-16,10,1,10,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.ud0msde.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-16,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 16e,https://www.phonelcdparts.com/apple/iphone-parts/iphone-16e-se4,11,1,11,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.s4ehmtu.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-16e-se4,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 15 Pro Max,https://www.phonelcdparts.com/apple/iphone-parts/iphone-15-pro-max,12,1,12,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.lu6je9o.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-15-pro-max,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 15 Pro,https://www.phonelcdparts.com/apple/iphone-parts/iphone-15-pro,13,1,13,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.mm3dlhs.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-15-pro,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 15 Plus,https://www.phonelcdparts.com/apple/iphone-parts/iphone-15-plus,14,1,14,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.f99ty2e.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-15-plus,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 15,https://www.phonelcdparts.com/apple/iphone-parts/iphone-15,15,1,15,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.aaoo8o2.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-15,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 14 Pro Max,https://www.phonelcdparts.com/apple/iphone-parts/iphone-14-pro-max,16,1,16,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.ctoro5x.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-14-pro-max,False,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,iPhone 14 Pro,https://www.phonelcdparts.com/apple/iphone-parts/iphone-14-pro,17,1,17,3,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.bnhi81w.mgz-element.nav-item > a,https://www.phonelcdparts.com/apple/iphone-parts/iphone-14-pro,False,False,2026-09-07T12:46:56+00:00,,,,,
