website,website_url,parent_name,parent_url,parent_display_order,parent_open_method,sub_child_name,sub_child_url,sub_child_display_order,sub_child_activation_method,child_name,child_url,child_display_order,column_number,row_number,hierarchy_level,discovery_method,source_selector,normalized_url,url_missing,is_duplicate,scraped_at,http_status,final_url,redirect_url,response_error,validation_timestamp
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,,,0,,,,0,0,0,1,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.to3b8qb.mgz-element.nav-item > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Samsung,,2,hover,,,0,,,,0,0,0,1,click,div.j66ovsl.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.j66ovsl-s.custom-banner-cls > div.inner-content.mgz-container > div.g1c9nei.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.g1c9nei-s.custom-banner-cls > div.rsl9p6y.mgz-element.nav-item > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Motorola,,3,hover,,,0,,,,0,0,0,1,click,div.xl8rxcl.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.xl8rxcl-s.custom-banner-cls > div.inner-content.mgz-container > div.oycly4v.mgz-element.mgz-element-column.swp-mega-category > div.mgz-element-inner.oycly4v-s.custom-banner-cls > div.m1ljkx6.mgz-element.nav-item.label-right > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Google,,4,hover,,,0,,,,0,0,0,1,click,div.qyf5upt.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.qyf5upt-s.custom-banner-cls > div.inner-content.mgz-container > div.ydmt6rt.mgz-element.mgz-element-column.swp-mega-category > div.mgz-element-inner.ydmt6rt-s.custom-banner-cls > div.evt5xwh.mgz-element.nav-item > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Other Models,,5,hover,,,0,,,,0,0,0,1,click,div.agrdjlw.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.agrdjlw-s.custom-banner-cls > div.inner-content.mgz-container > div.cx8di0j.mgz-element.mgz-element-column.swp-mega-category > div.mgz-element-inner.cx8di0j-s.custom-banner-cls > div.o2xwhda.mgz-element.nav-item > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Game Console,,6,hover,,,0,,,,0,0,0,1,safari-http-menu-api,div.mgz-element-inner.ad9i1ic-s.custom-banner-cls > div.n94s0v3.mgz-element.mgz-element-tabs.swp-tools-tabs > div.mgz-element-inner.n94s0v3-s.swp-tools-tabs-inner.custom-banner-cls > div.mgz-tabs.mgz-tabs-n94s0v3.mgz-element-tab-align-left.mgz-element-tab-position-left > div.mgz-tabs-nav > div.tb9arwp.tab-tb9arwp-title.mgz-tabs-tab-title.mgz-active > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Cases,,7,hover,,,0,,,,0,0,0,1,click,div.y3nkpja.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.y3nkpja-s.custom-banner-cls > div.inner-content.mgz-container > div.eoogwge.mgz-element.mgz-element-column.mgz-col-xl-3 > div.mgz-element-inner.eoogwge-s.custom-banner-cls > div.bxll9ul.mgz-element.swp-mega-category.nav-item > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Accessories,,8,hover,,,0,,,,0,0,0,1,safari-http-menu-api,div.mgz-element-inner.i2vt1sp-s.custom-banner-cls > div.fvhw3jg.mgz-element.mgz-element-tabs.swp-tools-tabs > div.mgz-element-inner.fvhw3jg-s.swp-tools-tabs-inner.custom-banner-cls > div.mgz-tabs.mgz-tabs-fvhw3jg.mgz-element-tab-align-left.mgz-element-tab-position-left > div.mgz-tabs-nav > div.fvu5svp.tab-fvu5svp-title.mgz-tabs-tab-title.mgz-active > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Tools,,9,hover,,,0,,,,0,0,0,1,safari-http-menu-api,div.mgz-element-inner.s4uqd8e-s.custom-banner-cls > div.n5lurys.mgz-element.mgz-element-tabs.swp-tools-tabs > div.mgz-element-inner.n5lurys-s.swp-tools-tabs-inner.custom-banner-cls > div.mgz-tabs.mgz-tabs-n5lurys.mgz-element-tab-align-left.mgz-element-tab-position-left > div.mgz-tabs-nav > div.gaf6hwu.tab-gaf6hwu-title.mgz-tabs-tab-title.mgz-active > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Refurbishing,,10,hover,,,0,,,,0,0,0,1,safari-http-menu-api,div.mgz-element-inner.wvllrvq-s.custom-banner-cls > div.aw57l27.mgz-element.mgz-element-tabs.swp-tools-tabs > div.mgz-element-inner.aw57l27-s.swp-tools-tabs-inner.custom-banner-cls > div.mgz-tabs.mgz-tabs-aw57l27.mgz-element-tab-align-left.mgz-element-tab-position-left > div.mgz-tabs-nav > div.u16kpin.tab-u16kpin-title.mgz-tabs-tab-title.mgz-active > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
