website,website_url,parent_name,parent_url,parent_display_order,parent_open_method,sub_child_name,sub_child_url,sub_child_display_order,sub_child_activation_method,child_name,child_url,child_display_order,column_number,row_number,hierarchy_level,discovery_method,source_selector,normalized_url,url_missing,is_duplicate,scraped_at,http_status,final_url,redirect_url,response_error,validation_timestamp
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPhone Parts,,1,click,,,0,0,0,2,click,div.booluk4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.booluk4-s.custom-banner-cls > div.inner-content.mgz-container > div.qestoqg.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.qestoqg-s.custom-banner-cls > div.to3b8qb.mgz-element.nav-item > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPad Parts,,2,click,,,0,0,0,2,click,div.o41aav7.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.o41aav7-s.custom-banner-cls > div.inner-content.mgz-container > div.fotpd2j.mgz-element.mgz-element-column.mgz-col-xl-3 > div.mgz-element-inner.fotpd2j-s.custom-banner-cls > div.c734qdv.mgz-element.swp-mega-category.nav-item > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,MacBook Parts,,3,click,,,0,0,0,2,click,div.kxl98ab.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.kxl98ab-s.custom-banner-cls > div.inner-content.mgz-container > div.ek63hnp.mgz-element.mgz-element-column.mgz-col-xl-4 > div.mgz-element-inner.ek63hnp-s.custom-banner-cls > div.gsd6ek1.mgz-element.swp-mega-category.nav-item > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iMac Parts,,4,click,,,0,0,0,2,click,div.fxmktuc.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.fxmktuc-s.custom-banner-cls > div.inner-content.mgz-container > div.uupwgdw.mgz-element.mgz-element-column.swp-mega-category > div.mgz-element-inner.uupwgdw-s.custom-banner-cls > div.tbxwpio.mgz-element.nav-item > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iWatch Parts,,5,click,,,0,0,0,2,click,div.d9dv3g4.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.d9dv3g4-s.custom-banner-cls > div.inner-content.mgz-container > div.s8nvjy6.mgz-element.mgz-element-column.swp-mega-category > div.mgz-element-inner.s8nvjy6-s.custom-banner-cls > div.ck12q9u.mgz-element.nav-item.label-right > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,iPod Parts,,6,click,,,0,0,0,2,click,div.lq3jtur.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.lq3jtur-s.custom-banner-cls > div.inner-content.mgz-container > div.akyu4w2.mgz-element.mgz-element-column.swp-mega-category > div.mgz-element-inner.akyu4w2-s.custom-banner-cls > div.ofwh47i.mgz-element.nav-item.label-right > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,Apple Pencil Parts,,7,click,,,0,0,0,2,click,div.qkugmw3.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.qkugmw3-s.custom-banner-cls > div.inner-content.mgz-container > div.dwhms1t.mgz-element.mgz-element-column.swp-mega-category > div.mgz-element-inner.dwhms1t-s.custom-banner-cls > div.v67e1wt.mgz-element.nav-item.label-right > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,AirPod Parts,,8,click,,,0,0,0,2,click,div.slrf2ig.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.slrf2ig-s.custom-banner-cls > div.inner-content.mgz-container > div.bmxmbao.mgz-element.mgz-element-column.swp-mega-category > div.mgz-element-inner.bmxmbao-s.custom-banner-cls > div.gtfedd3.mgz-element.nav-item.label-right > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Apple,,1,hover,Quick Order,,9,click,,,0,0,0,2,click,div.iw3pu5j.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.iw3pu5j-s.custom-banner-cls > div.inner-content.mgz-container > div.vi5l7hl.mgz-element.mgz-element-column.swp-mega-category > div.mgz-element-inner.vi5l7hl-s.custom-banner-cls > div.v6ods16.mgz-element.nav-item > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
Phone LCD Parts,https://www.phonelcdparts.com/,Samsung,,2,hover,Galaxy S Series,,1,click,,,0,0,0,2,click,div.j66ovsl.mgz-element.mgz-element-row.full_width_row > div.mgz-element-inner.j66ovsl-s.custom-banner-cls > div.inner-content.mgz-container > div.g1c9nei.mgz-element.mgz-element-column.s-col-1 > div.mgz-element-inner.g1c9nei-s.custom-banner-cls > div.rsl9p6y.mgz-element.nav-item > a,,True,False,2026-09-07T12:46:56+00:00,,,,,
