website,website_url,parent_name,parent_url,parent_display_order,parent_open_method,sub_child_name,sub_child_url,sub_child_display_order,sub_child_activation_method,child_name,child_url,child_display_order,column_number,row_number,hierarchy_level,discovery_method,source_selector,normalized_url,url_missing,is_duplicate,scraped_at,http_status,final_url,redirect_url,response_error,validation_timestamp
TXParts,https://txparts.com/,Apple,https://txparts.com/shop/iphone,1,dom-inspection,IPhone,https://txparts.com/shop/iphone,1,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/iphone,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Apple,https://txparts.com/shop/iphone,1,dom-inspection,IPad,https://txparts.com/shop/ipad,2,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/ipad,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Apple,https://txparts.com/shop/iphone,1,dom-inspection,IWatch,https://txparts.com/shop/iwatch,3,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/iwatch,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Apple,https://txparts.com/shop/iphone,1,dom-inspection,IPod,https://txparts.com/shop/ipod,4,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/ipod,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,S Series,https://txparts.com/shop/s-series,1,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/s-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,Note Series,https://txparts.com/shop/note-series,2,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/note-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,A Series,https://txparts.com/shop/a-series,3,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/a-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,Fold Series,https://txparts.com/shop/fold-series,4,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/fold-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,Flip Series,https://txparts.com/shop/flip-series,5,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/flip-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,J Series,https://txparts.com/shop/j-series,6,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/j-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,M Series,https://txparts.com/shop/m-series,7,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/m-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,X Cover Series,https://txparts.com/shop/x-cover-series,8,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/x-cover-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,Active Series,https://txparts.com/shop/active-series,9,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/active-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,Mega Series,https://txparts.com/shop/mega-series,10,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/mega-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,F Series,https://txparts.com/shop/f-series,11,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/f-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,Other Series,https://txparts.com/shop/other-series,12,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/other-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,Grand Series,https://txparts.com/shop/grand-series,13,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/grand-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Samsung,https://txparts.com/shop/s-series,2,dom-inspection,Core Series,https://txparts.com/shop/core-series,14,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/core-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Tablet,https://txparts.com/shop/tab-series,3,dom-inspection,Tab Series,https://txparts.com/shop/tab-series,1,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/tab-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Tablet,https://txparts.com/shop/tab-series,3,dom-inspection,Tab A series,https://txparts.com/shop/tab-a-series,2,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/tab-a-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Tablet,https://txparts.com/shop/tab-series,3,dom-inspection,Tab S Series,https://txparts.com/shop/tab-s-series,3,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/tab-s-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Tablet,https://txparts.com/shop/tab-series,3,dom-inspection,Tab Active Series,https://txparts.com/shop/tab-active-series,4,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/tab-active-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Tablet,https://txparts.com/shop/tab-series,3,dom-inspection,Tab Note Series,https://txparts.com/shop/tab-note-series,5,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/tab-note-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Tablet,https://txparts.com/shop/tab-series,3,dom-inspection,Tab E Series,https://txparts.com/shop/tab-e-series,6,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/tab-e-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Tablet,https://txparts.com/shop/tab-series,3,dom-inspection,Tab Pro Series,https://txparts.com/shop/tab-pro-series,7,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/tab-pro-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Motorola,https://txparts.com/shop/moto-g-series,4,dom-inspection,Moto G Series,https://txparts.com/shop/moto-g-series,1,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/moto-g-series,False,False,2026-09-07T04:48:31+00:00,,,,,
TXParts,https://txparts.com/,Motorola,https://txparts.com/shop/moto-g-series,4,dom-inspection,Moto E SERIES,https://txparts.com/shop/moto-e-series,2,dom-inspection,,,0,0,0,2,dom-inspection,,https://txparts.com/shop/moto-e-series,False,False,2026-09-07T04:48:31+00:00,,,,,
