website,website_url,parent_name,parent_url,parent_display_order,parent_open_method,sub_child_name,sub_child_url,sub_child_display_order,sub_child_activation_method,child_name,child_url,child_display_order,column_number,row_number,hierarchy_level,discovery_method,source_selector,normalized_url,url_missing,is_duplicate,scraped_at,http_status,final_url,redirect_url,response_error,validation_timestamp
TXParts Canada,https://txpartscanada.ca/,Apple,https://txpartscanada.ca/shop/iphone,1,dom-inspection,Iphone,https://txpartscanada.ca/shop/iphone,1,dom-inspection,IPhone Air,https://txpartscanada.ca/shop/iphone-air,1,0,1,3,dom-inspection,,https://txpartscanada.ca/shop/iphone-air,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Apple,https://txpartscanada.ca/shop/iphone,1,dom-inspection,Iphone,https://txpartscanada.ca/shop/iphone,1,dom-inspection,IPhone 17 Pro Max,https://txpartscanada.ca/shop/iphone-17-pro-max,2,0,2,3,dom-inspection,,https://txpartscanada.ca/shop/iphone-17-pro-max,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Apple,https://txpartscanada.ca/shop/iphone,1,dom-inspection,Iphone,https://txpartscanada.ca/shop/iphone,1,dom-inspection,IPhone 17 Pro,https://txpartscanada.ca/shop/iphone-17-pro,3,0,3,3,dom-inspection,,https://txpartscanada.ca/shop/iphone-17-pro,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Apple,https://txpartscanada.ca/shop/iphone,1,dom-inspection,Iphone,https://txpartscanada.ca/shop/iphone,1,dom-inspection,IPhone 17,https://txpartscanada.ca/shop/iphone-17,4,0,4,3,dom-inspection,,https://txpartscanada.ca/shop/iphone-17,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Apple,https://txpartscanada.ca/shop/iphone,1,dom-inspection,Iphone,https://txpartscanada.ca/shop/iphone,1,dom-inspection,IPhone 16 Pro Max,https://txpartscanada.ca/shop/iphone-16-pro-max,5,0,5,3,dom-inspection,,https://txpartscanada.ca/shop/iphone-16-pro-max,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Apple,https://txpartscanada.ca/shop/iphone,1,dom-inspection,Iphone,https://txpartscanada.ca/shop/iphone,1,dom-inspection,IPhone 16 Pro,https://txpartscanada.ca/shop/iphone-16-pro,6,0,6,3,dom-inspection,,https://txpartscanada.ca/shop/iphone-16-pro,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Apple,https://txpartscanada.ca/shop/iphone,1,dom-inspection,Iphone,https://txpartscanada.ca/shop/iphone,1,dom-inspection,IPhone 16 Plus,https://txpartscanada.ca/shop/iphone-16-plus,7,0,7,3,dom-inspection,,https://txpartscanada.ca/shop/iphone-16-plus,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Apple,https://txpartscanada.ca/shop/iphone,1,dom-inspection,Iphone,https://txpartscanada.ca/shop/iphone,1,dom-inspection,IPhone 16,https://txpartscanada.ca/shop/iphone-16,8,0,8,3,dom-inspection,,https://txpartscanada.ca/shop/iphone-16,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Apple,https://txpartscanada.ca/shop/iphone,1,dom-inspection,Iphone,https://txpartscanada.ca/shop/iphone,1,dom-inspection,IPhone 16e,https://txpartscanada.ca/shop/iphone-16e,9,0,9,3,dom-inspection,,https://txpartscanada.ca/shop/iphone-16e,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Apple,https://txpartscanada.ca/shop/iphone,1,dom-inspection,Iphone,https://txpartscanada.ca/shop/iphone,1,dom-inspection,IPhone 15 Pro Max,https://txpartscanada.ca/shop/iphone-15-pro-max,10,0,10,3,dom-inspection,,https://txpartscanada.ca/shop/iphone-15-pro-max,False,False,2026-09-07T04:49:29+00:00,,,,,
