website,website_url,parent_name,parent_url,parent_display_order,parent_open_method,sub_child_name,sub_child_url,sub_child_display_order,sub_child_activation_method,child_name,child_url,child_display_order,column_number,row_number,hierarchy_level,discovery_method,source_selector,normalized_url,url_missing,is_duplicate,scraped_at,http_status,final_url,redirect_url,response_error,validation_timestamp
TXParts Canada,https://txpartscanada.ca/,Apple,https://txpartscanada.ca/shop/iphone,1,dom-inspection,Iphone,https://txpartscanada.ca/shop/iphone,1,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/iphone,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Apple,https://txpartscanada.ca/shop/iphone,1,dom-inspection,Ipad,https://txpartscanada.ca/shop/ipad,2,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/ipad,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Samsung,https://txpartscanada.ca/shop/s-series,2,dom-inspection,S Series,https://txpartscanada.ca/shop/s-series,1,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/s-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Samsung,https://txpartscanada.ca/shop/s-series,2,dom-inspection,A Series,https://txpartscanada.ca/shop/a-series,2,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/a-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Samsung,https://txpartscanada.ca/shop/s-series,2,dom-inspection,Note Series,https://txpartscanada.ca/shop/note-series,3,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/note-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Samsung,https://txpartscanada.ca/shop/s-series,2,dom-inspection,Fold Series,https://txpartscanada.ca/shop/fold-series,4,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/fold-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Samsung,https://txpartscanada.ca/shop/s-series,2,dom-inspection,Flip Series,https://txpartscanada.ca/shop/flip-series,5,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/flip-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Samsung,https://txpartscanada.ca/shop/s-series,2,dom-inspection,Tab A series,https://txpartscanada.ca/shop/tab-a-series,6,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/tab-a-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Samsung,https://txpartscanada.ca/shop/s-series,2,dom-inspection,Tab S Series,https://txpartscanada.ca/shop/tab-s-series,7,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/tab-s-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Motorola,https://txpartscanada.ca/shop/moto-g-series,3,dom-inspection,Moto G Series,https://txpartscanada.ca/shop/moto-g-series,1,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/moto-g-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Motorola,https://txpartscanada.ca/shop/moto-g-series,3,dom-inspection,Moto Edge Series,https://txpartscanada.ca/shop/moto-edge-series,2,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/moto-edge-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Motorola,https://txpartscanada.ca/shop/moto-g-series,3,dom-inspection,Moto E Series,https://txpartscanada.ca/shop/moto-e-series,3,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/moto-e-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Google,https://txpartscanada.ca/shop/6-series,4,dom-inspection,6 Series,https://txpartscanada.ca/shop/6-series,1,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/6-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Google,https://txpartscanada.ca/shop/6-series,4,dom-inspection,7 Series,https://txpartscanada.ca/shop/7-series,2,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/7-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Google,https://txpartscanada.ca/shop/6-series,4,dom-inspection,8 Series,https://txpartscanada.ca/shop/8-series,3,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/8-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Google,https://txpartscanada.ca/shop/6-series,4,dom-inspection,9 Series,https://txpartscanada.ca/shop/9-series,4,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/9-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Google,https://txpartscanada.ca/shop/6-series,4,dom-inspection,10 Series,https://txpartscanada.ca/shop/10-series,5,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/10-series,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Other Brands,https://txpartscanada.ca/shop/huawei,5,dom-inspection,Huawei,https://txpartscanada.ca/shop/huawei,1,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/huawei,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Other Brands,https://txpartscanada.ca/shop/huawei,5,dom-inspection,LG,https://txpartscanada.ca/shop/lg,2,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/lg,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Tools and Accessories,https://txpartscanada.ca/shop/accessories,6,dom-inspection,Accessories,https://txpartscanada.ca/shop/accessories,1,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/accessories,False,False,2026-09-07T04:49:29+00:00,,,,,
TXParts Canada,https://txpartscanada.ca/,Tools and Accessories,https://txpartscanada.ca/shop/accessories,6,dom-inspection,Headphones,https://txpartscanada.ca/shop/headphones,2,dom-inspection,,,0,0,0,2,dom-inspection,,https://txpartscanada.ca/shop/headphones,False,False,2026-09-07T04:49:29+00:00,,,,,
