website,website_url,parent_name,parent_url,parent_display_order,parent_open_method,sub_child_name,sub_child_url,sub_child_display_order,sub_child_activation_method,child_name,child_url,child_display_order,column_number,row_number,hierarchy_level,discovery_method,source_selector,normalized_url,url_missing,is_duplicate,scraped_at,http_status,final_url,redirect_url,response_error,validation_timestamp
XCell Parts,https://xcellparts.com/,APPLE,https://xcellparts.com/product-category/apple,1,click,IPHONE,https://xcellparts.com/product-category/apple/iphone,1,dom-inspection,IPHONE 18 PRO MAX,https://xcellparts.com/product-category/apple/iphone/iphone-18-pro-max-iphone,1,1,1,3,dom-inspection,div#plp-243-2615 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/apple/iphone/iphone-18-pro-max-iphone,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,APPLE,https://xcellparts.com/product-category/apple,1,click,IPHONE,https://xcellparts.com/product-category/apple/iphone,1,dom-inspection,IPHONE 18 PRO,https://xcellparts.com/product-category/apple/iphone/iphone-18-pro,2,1,2,3,dom-inspection,div#plp-243-2615 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/apple/iphone/iphone-18-pro,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,APPLE,https://xcellparts.com/product-category/apple,1,click,IPHONE,https://xcellparts.com/product-category/apple/iphone,1,dom-inspection,IPHONE 17E,https://xcellparts.com/product-category/apple/iphone/iphone-17e-iphone,3,1,3,3,dom-inspection,div#plp-243-2615 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/apple/iphone/iphone-17e-iphone,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,APPLE,https://xcellparts.com/product-category/apple,1,click,IPHONE,https://xcellparts.com/product-category/apple/iphone,1,dom-inspection,IPHONE 17 PRO MAX,https://xcellparts.com/product-category/apple/iphone/iphone-17-pro-max-iphone,4,1,4,3,dom-inspection,div#plp-243-2615 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/apple/iphone/iphone-17-pro-max-iphone,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,APPLE,https://xcellparts.com/product-category/apple,1,click,IPHONE,https://xcellparts.com/product-category/apple/iphone,1,dom-inspection,IPHONE 17 PRO,https://xcellparts.com/product-category/apple/iphone/iphone-17-pro-iphone,5,1,5,3,dom-inspection,div#plp-243-2615 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/apple/iphone/iphone-17-pro-iphone,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,APPLE,https://xcellparts.com/product-category/apple,1,click,IPHONE,https://xcellparts.com/product-category/apple/iphone,1,dom-inspection,IPHONE 17 AIR,https://xcellparts.com/product-category/apple/iphone/iphone-17-air-iphone,6,1,6,3,dom-inspection,div#plp-243-2615 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/apple/iphone/iphone-17-air-iphone,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,APPLE,https://xcellparts.com/product-category/apple,1,click,IPHONE,https://xcellparts.com/product-category/apple/iphone,1,dom-inspection,IPHONE 17,https://xcellparts.com/product-category/apple/iphone/iphone-17-iphone,7,1,7,3,dom-inspection,div#plp-243-2615 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/apple/iphone/iphone-17-iphone,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,APPLE,https://xcellparts.com/product-category/apple,1,click,IPHONE,https://xcellparts.com/product-category/apple/iphone,1,dom-inspection,IPHONE 16E,https://xcellparts.com/product-category/apple/iphone/iphone-16e,8,1,8,3,dom-inspection,div#plp-243-2615 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/apple/iphone/iphone-16e,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,APPLE,https://xcellparts.com/product-category/apple,1,click,IPHONE,https://xcellparts.com/product-category/apple/iphone,1,dom-inspection,IPHONE 16 PRO MAX,https://xcellparts.com/product-category/apple/iphone/iphone-16-pro-max-iphone,9,1,9,3,dom-inspection,div#plp-243-2615 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/apple/iphone/iphone-16-pro-max-iphone,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,APPLE,https://xcellparts.com/product-category/apple,1,click,IPHONE,https://xcellparts.com/product-category/apple/iphone,1,dom-inspection,IPHONE 16 PRO,https://xcellparts.com/product-category/apple/iphone/iphone-16-pro-iphone,10,1,10,3,dom-inspection,div#plp-243-2615 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/apple/iphone/iphone-16-pro-iphone,False,False,2026-09-07T04:40:13+00:00,,,,,
