website,website_url,parent_name,parent_url,parent_display_order,parent_open_method,sub_child_name,sub_child_url,sub_child_display_order,sub_child_activation_method,child_name,child_url,child_display_order,column_number,row_number,hierarchy_level,discovery_method,source_selector,normalized_url,url_missing,is_duplicate,scraped_at,http_status,final_url,redirect_url,response_error,validation_timestamp
XCell Parts,https://xcellparts.com/,APPLE,https://xcellparts.com/product-category/apple,1,click,,,0,,,,0,0,0,1,dom-inspection,div#plp-243-2615 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/apple,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,SAMSUNG,https://xcellparts.com/product-category/samsung,2,click,,,0,,,,0,0,0,1,dom-inspection,div#plp-283-2672 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/samsung,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,MOTOROLA,https://xcellparts.com/product-category/motorola-2,3,click,,,0,,,,0,0,0,1,dom-inspection,div#plp-1123046-1123050 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/motorola-2,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,GOOGLE,https://xcellparts.com/product-category/google-2,4,click,,,0,,,,0,0,0,1,dom-inspection,div#plp-1125062-1125063 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/google-2,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,TABLET,https://xcellparts.com/product-category/tablet,5,click,,,0,,,,0,0,0,1,dom-inspection,div#plp-287-16056 > div.xcell-mm__plp-thumbs.xcell-mm__plp-thumbs--flat > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/tablet,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,OTHERS,https://xcellparts.com/product-category/others,6,click,,,0,,,,0,0,0,1,dom-inspection,div#split-5023-5061 > a.xcell-mm__plp-group-head,https://xcellparts.com/product-category/others,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,GAME CONSOLE,https://xcellparts.com/product-category/game-console,7,click,,,0,,,,0,0,0,1,dom-inspection,div#plp-4952-5812 > div.xcell-mm__plp-thumbs > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/game-console,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,ACCESSORIES,https://xcellparts.com/product-category/accessories,8,click,,,0,,,,0,0,0,1,dom-inspection,div#split-1125111-1125279 > a.xcell-mm__plp-group-head,https://xcellparts.com/product-category/accessories,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,TOOLS N SUPPLIES,https://xcellparts.com/product-category/tools-n-supplies,9,click,,,0,,,,0,0,0,1,dom-inspection,div#plp-34483-1125679 > div.xcell-mm__plp-thumbs > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/tools-n-supplies,False,False,2026-09-07T04:40:13+00:00,,,,,
XCell Parts,https://xcellparts.com/,PRE OWNED DEVICES,https://xcellparts.com/product-category/pre-owned-devices,10,click,,,0,,,,0,0,0,1,dom-inspection,div#xcell-p-1037033 > div.xcell-mm__panel-inner > div.xcell-mm__panel-scroll > div.xcell-mm__plp > div.xcell-mm__plp-thumbs > a.xcell-mm__plp-thumb,https://xcellparts.com/product-category/pre-owned-devices,False,False,2026-09-07T04:40:13+00:00,,,,,
